,image,price,deal,title,shop,location
0,//g-search2.alicdn.com/img/bao/uploaded/i4/i4/2176985097/TB2iFDAFb1YBuNjSszeXXablFXa_!!2176985097-0-item_pic.jpg_360x360Q90.jpg_.webp,"¥
25.80",231,"南萃坊梅干菜酥饼25个800g糕点零食杭州特产小吃点心
美食
黄山烧饼",南萃坊旗舰店,浙江 杭州
0,//g-search3.alicdn.com/img/bao/uploaded/i4/i1/1120178555/TB27AH3nkomBKNjSZFqXXXtqVXa_!!1120178555-0-item_pic.jpg_360x360Q90.jpg_.webp,"¥
25.80",215,"【黄老五 核桃酥250g】四川特产办公零食 甜味传统糕点
美食",黄老五食品旗舰店,四川 内江
0,//g-search1.alicdn.com/img/bao/uploaded/i4/i1/106678987/TB2Y9c2X9fD8KJjSszhXXbIJFXa_!!106678987.jpg_360x360Q90.jpg_.webp,"¥
28.80",227,"巫糕糕红豆乳酪酥 网红茶点特产
美食
传统手工点心糕点小吃零食",nicolefeier,四川 成都
0,//g-search1.alicdn.com/img/bao/uploaded/i4/i2/1819967332/TB2yroQwOCYBuNkHFCcXXcHtVXa_!!1819967332-0-item_pic.jpg_360x360Q90.jpg_.webp,"¥
119.00",61,"广西金顺昌桂林特产伴手礼 桂花糕休闲食品零食儿时舌尖
美食
礼盒",金顺昌旗舰店,广西 桂林
0,//g-search2.alicdn.com/img/bao/uploaded/i4/i1/1910096177/TB2bEd0nlsmBKNjSZFsXXaXSVXa_!!1910096177-0-item_pic.jpg_360x360Q90.jpg_.webp,"¥
34.80",918,"龙旺红糖糍粑黑糖糯米年糕正手工宗四川特产成都小吃特色重庆
美食",听竹食品专营店,四川 成都
0,//g-search3.alicdn.com/img/bao/uploaded/i4/i3/3068890963/TB24AQofb3nBKNjSZFMXXaUSFXa_!!3068890963.jpg_360x360Q90.jpg_.webp,"¥
17.80",714,"肉松饼整箱约60个营养早餐面包小吃零食
美食
好吃的休闲食品成人款",星座食品,福建 厦门
0,//g-search2.alicdn.com/img/bao/uploaded/i4/i3/880734502/TB2RgBhniMnBKNjSZFCXXX0KFXa_!!880734502-0-item_pic.jpg_360x360Q90.jpg_.webp,"¥
18.90",22986,"【三只松鼠_和风麻薯210gx2袋】休闲零食糕点
美食
小吃干吃汤圆",三只松鼠旗舰店,安徽 芜湖
0,//g-search2.alicdn.com/img/bao/uploaded/i4/i3/TB1nN7_NpXXXXa3XXXXXXXXXXXX_!!0-item_pic.jpg_360x360Q90.jpg_.webp,"¥
69.00",154,"冠素堂观音饼6盒礼袋装 传统文化
美食",冠素堂食品专营店,浙江 舟山
0,//g-search2.alicdn.com/img/bao/uploaded/i4/i4/1120178555/TB2ZLhFHKuSBuNjSsplXXbe8pXa_!!1120178555-2-item_pic.png_360x360Q90.jpg_.webp,"¥
49.00",49,"【黄老五 黑芝麻酥】四川特产零食 休闲食品
美食
糕点 506g",黄老五食品旗舰店,四川 内江
0,//g-search1.alicdn.com/img/bao/uploaded/i4/i1/3319843912/TB2EWLScUD.BuNjt_ioXXcKEFXa_!!3319843912.jpg_360x360Q90.jpg_.webp,"¥
48.00",162,"北京南锣鼓巷栗记麦香坊微博热门
美食
虎皮饽饽仙豆糕6块装多口味",蛋挞妈妈北京美食代购,北京
0,//g-search3.alicdn.com/img/bao/uploaded/i4/i3/3078770661/TB2uw4VpByWBuNkSmFPXXXguVXa_!!3078770661-0-item_pic.jpg_360x360Q90.jpg_.webp,"¥
17.80",1138,"正宗黄山薄脆烧饼3袋39个 安徽梅干扣菜肉酥饼特产小吃
美食
糕点心",徽韵棠旗舰店,安徽 黄山
0,//g-search3.alicdn.com/img/bao/uploaded/i4/i3/3356655479/TB2N9O.pCBYBeNjy0FeXXbnmFXa_!!3356655479.jpg_360x360Q90.jpg_.webp,"¥
39.90",43,"正宗安徽特产三只松鼠旗舰店黄山烧饼梅干菜酥饼
美食
心零食小吃",爱上零食之都,安徽 黄山
0,//g.alicdn.com/s.gif,"¥
17.90",30197,"【良品铺子牛扎奶芙120gx2】雪花酥网红零食小吃
美食
牛轧糖沙琪玛",良品铺子旗舰店,湖北 武汉
0,//g.alicdn.com/s.gif,"¥
30.50",80,"北方无糖零食曲阳缸炉烧饼特产正宗河北
美食
小吃芝麻饼传统纯手工",付太安,河北 保定
0,//g.alicdn.com/s.gif,"¥
18.90",1378,"包邮零食山西土特产麦小吃
美食
特色土炒馍棋子豆炒琪面豆200gX3袋",zy521xl,山西 运城
0,//g.alicdn.com/s.gif,"¥
25.00",118,"北京
美食
牛街清真椒盐烧饼麻酱烧饼糖火烧组合共8个包邮",liujia19890702,北京
0,//g.alicdn.com/s.gif,"¥
33.60",1676,"丫眯玫瑰鲜花饼正宗云南特产 好吃的零食小吃
美食
休闲食品成人款",潮昂食品专营店,云南 昆明
0,//g.alicdn.com/s.gif,"¥
22.00",275,"南京特产 鸡蛋汉堡 鲜肉汉堡包馅饼鸡蛋饼 早餐小吃 南京人气
美食",沧澜流转,江苏 南京
0,//g.alicdn.com/s.gif,"¥
62.80",5158,"轩妈家蛋黄酥 4种口味混合组合装传统糕点
美食
早餐点心零食小吃",轩妈食品旗舰店,广西 南宁
0,//g.alicdn.com/s.gif,"¥
50.90",32,"新疆馕饼囊特产零食 传统
美食
大饼油馕手工清真食品正宗烤馕包邮",琴love威,新疆 乌鲁木齐
0,//g.alicdn.com/s.gif,"¥
20.90",147,"1件包邮（5斤）5袋山东特产糕点蜜三刀 特产小吃
美食
甜点心零食",pangziding2006,山东 泰安
0,//g.alicdn.com/s.gif,"¥
160.00",126,"台湾进口 百年名店 台中犁记饼店 招牌蛋黄酥10入传统糕点
美食
品",雾里成熟,福建 厦门
0,//g.alicdn.com/s.gif,"¥
30.80",34,"爱乡亲肉松饼福建特产
美食
茶糕点心早餐零食小吃零食品1000g",爱乡亲工厂店,福建 泉州
0,//g.alicdn.com/s.gif,"¥
29.80",41,"麦大大儿童宝宝早餐 卡通馒头纯手工无添加果蔬卡通馒头儿童
美食",麦大大美食,浙江 温州
0,//g.alicdn.com/s.gif,"¥
109.00",65,"现货台湾特产零食
美食
点心进口食品名坂奇夏威夷豆塔12入顺丰直发",琦华电,台湾 台北
0,//g.alicdn.com/s.gif,"¥
57.90",484,"孕妇零食南瓜子饼瓜子仁酥饼干健康营养食品
美食
早餐月子小吃特产",返农归真,山东 临沂
0,//g.alicdn.com/s.gif,"¥
27.80",6615,"南萃坊流心蛋黄饼20个800克传统糕点办公室网红零食小吃
美食
整箱",南萃坊旗舰店,浙江 杭州
0,//g.alicdn.com/s.gif,"¥
88.00",52,"零食大礼包休闲食品成人款好吃的
美食
澳门广东珠海特产小吃饼干",澳门特产批发城,广东 珠海
0,//g-search3.alicdn.com/img/bao/uploaded/i4/i1/88888/TB2d9OkFL5TBuNjSspcXXbnGFXa_!!88888.jpg_360x360Q90.jpg_.webp,"¥
16.80",1090,"千丝绿豆饼糕点整箱1kg早餐面包酥饼网红零食品小吃
美食
散装批发",黄子,福建 泉州
0,//g-search2.alicdn.com/img/bao/uploaded/i4/i4/362557714/TB2meA9csnI8KJjSsziXXb8QpXa_!!362557714.jpg_360x360Q90.jpg_.webp,"¥
31.00",54,"苏州黄天源糕团【组合装糕点】糕点
美食
特产 一份为四块糕",苏雨英182381,江苏 苏州
0,//g-search1.alicdn.com/img/bao/uploaded/i4/i2/1668473661/TB1r1S7A49YBuNjy0FfXXXIsVXa_!!0-item_pic.jpg_360x360Q90.jpg_.webp,"¥
22.80",2400,"宫御坊老北京特产大礼包京八件礼盒零食小吃
美食
驴打滚果脯龙须酥",宫御坊旗舰店,北京
0,//g-search3.alicdn.com/img/bao/uploaded/i4/i4/2913195147/TB2Fv9UeQ9WBuNjSspeXXaz5VXa_!!2913195147.jpg_360x360Q90.jpg_.webp,"¥
16.80",391,"千丝肉松饼整箱特产早餐糕点心小吃好吃的网红零食品散装
美食
批发",千丝食品,福建 泉州
0,//g-search1.alicdn.com/img/bao/uploaded/i4/i4/1697167251/TB2QpKUikyWBuNjy0FpXXassXXa_!!1697167251.jpg_360x360Q90.jpg_.webp,"¥
36.80",208,"山东周村特产香酥脆薄芝麻片烧饼正宗零食小吃
美食
休闲食品成人款",健健康康664,山东 德州
0,//g-search3.alicdn.com/img/bao/uploaded/i4/i2/2114298584/TB2TkyYmyCYBuNkSnaVXXcMsVXa_!!2114298584-0-item_pic.jpg_360x360Q90.jpg_.webp,"¥
24.80",1175,"好吃的四川成都特产小吃零食糯米红糖糍粑即食三大炮
美食
休闲糕点",蜀源香食品专营店,四川 成都
0,//g-search1.alicdn.com/img/bao/uploaded/i4/i2/827461591/TB2ZMNHl_nI8KJjSszbXXb4KFXa_!!827461591.jpg_360x360Q90.jpg_.webp,"¥
18.80",371,"爆浆麻薯糯米糍粑整箱网红小吃抹茶味
美食
好吃的休闲零食品成人款",奥特曼zhang,福建 厦门
0,//g-search1.alicdn.com/img/bao/uploaded/i4/i3/3927268889/TB2osyaCbSYBuNjSspfXXcZCpXa_!!3927268889-0-item_pic.jpg_360x360Q90.jpg_.webp,"¥
19.80",248,"稻香村驴打滚500g散装老北京特产小吃零食糕点心
美食
品零食麻薯",稻香村中晨专卖店,北京
0,//g-search3.alicdn.com/img/bao/uploaded/i4/i2/2561116236/TB2EUakxhSYBuNjSsphXXbGvVXa_!!2561116236.jpg_360x360Q90.jpg_.webp,"¥
25.00",766,"西安特产小吃零食糕点 陕西十大怪礼盒琼锅糖蓼花糖地方特色
美食",绿音集团,陕西 西安
0,//g-search3.alicdn.com/img/bao/uploaded/i4/i1/3497536275/TB1iukua5MnBKNjSZFCXXX0KFXa_!!0-item_pic.jpg_360x360Q90.jpg_.webp,"¥
48.00",88,"陕拾叁秦酥+试吃装组合 陕西安
美食
回民街特产清真糕点 包邮套餐",陕拾叁旗舰店,陕西 西安
0,//g-search1.alicdn.com/img/bao/uploaded/i4/i2/2077316270/TB2AD7vg29TBuNjy0FcXXbeiFXa_!!2077316270.jpg_360x360Q90.jpg_.webp,"¥
68.00",300,"杭州特产知味观绿豆冰糕糕点 点心绿豆糕
美食
零食送礼四盒装760g",杭州知味观,浙江 杭州
0,//g-search3.alicdn.com/img/bao/uploaded/i4/i1/1056877153/TB2FCj1uQSWBuNjSszdXXbeSpXa_!!1056877153-0-item_pic.jpg_360x360Q90.jpg_.webp,"¥
35.00",362,"红星软香酥陕西特产小吃
美食
零食礼包早餐糕点豆沙点心西安千层饼",红星软香酥旗舰店,陕西 咸阳
0,//g-search1.alicdn.com/img/bao/uploaded/i4/imgextra/i2/129016548/TB2Ivx2BviSBuNkSnhJXXbDcpXa_!!0-saturn_solar.jpg_360x360Q90.jpg_.webp,"¥
32.80",1119,美国进口Snyders蛋糕装饰255.2g烘培蝴蝶酥饼干圈pretzel零食食品,昶洋食品专营店,上海
0,//g-search1.alicdn.com/img/bao/uploaded/i4/imgextra/i4/113124528/TB2bFsEkXkoBKNjSZFkXXb4tFXa_!!0-saturn_solar.jpg_360x360Q90.jpg_.webp,"¥
19.50",3025,"黄山烧饼60个梅干菜扣肉酥饼糕点心零食休闲小吃正宗安徽
美食
特产",黄山立胜食品,安徽 黄山
0,//g-search1.alicdn.com/img/bao/uploaded/i4/imgextra/i1/132230910/TB2we0yzrGYBuNjy0FoXXciBFXa_!!0-saturn_solar.jpg_360x360Q90.jpg_.webp,"¥
68.80",118,[买一送一]内蒙古特产正宗超干手撕风干牛肉干散装熟食零食小吃,骄子牧场佰恩专卖店,内蒙古 呼和浩特
0,//g-search3.alicdn.com/img/bao/uploaded/i4/i3/828000389/TB2gKp3bWmWQ1JjSZPhXXXCJFXa_!!828000389.jpg_360x360Q90.jpg_.webp,"¥
26.00",208,"南京人气
美食
鼎旺 紫薯Q仔 大福麻薯糯米糍魔奇 早餐零食小吃",沧澜流转,江苏 南京
0,//g-search2.alicdn.com/img/bao/uploaded/i4/i4/2456567755/TB21YPLkHZnBKNjSZFKXXcGOVXa_!!2456567755-0-item_pic.jpg_360x360Q90.jpg_.webp,"¥
39.90",26,"三禾北京稻香村鸡蛋槽子糕312g*2北京茶点心特色
美食
老蛋糕",稻香通宝食品专营店,北京
0,//g-search3.alicdn.com/img/bao/uploaded/i4/i4/3348059533/TB1vcdubr3nBKNjSZFMXXaUSFXa_!!0-item_pic.jpg_360x360Q90.jpg_.webp,"¥
18.90",1385,"成都特产即食凉糕四川网红
美食
好吃的糯米小吃零食休闲食品成人款",锦城记旗舰店,四川 成都
0,//g-search2.alicdn.com/img/bao/uploaded/i4/i3/660060461/TB2_xP0xL1TBuNjy0FjXXajyXXa_!!660060461.jpeg_360x360Q90.jpg_.webp,"¥
35.00",182,"包邮6粒装低糖蛋黄酥酥饼麻薯肉松传统糕点零食特产点心
美食
小吃",suxing3052,广东 深圳
0,//g-search3.alicdn.com/img/bao/uploaded/i4/i3/183296758/TB2ByYZkEUIL1JjSZFrXXb3xFXa_!!183296758.png_360x360Q90.jpg_.webp,"¥
29.90",209,"永康肉麦饼纯手工金华
美食
永康干菜雪菜麦饼早餐5个装江浙沪包邮",ykajie,浙江 金华
0,//g-search2.alicdn.com/img/bao/uploaded/i4/i3/681185851/TB1oq0xnpkoBKNjSZFkXXb4tFXa_!!0-item_pic.jpg_360x360Q90.jpg_.webp,"¥
27.00",7339,"轩妈家蛋黄酥55g*6枚/盒手工传统糕点
美食
早餐零食小吃雪媚娘麻薯",猫诚旗舰店,广西 南宁
