,deal,image,location,price,shop,title
0,136,//g.alicdn.com/s.gif,广东 汕尾,26.00,林艾彤,"汕尾特产海丰特产小米著名
潮汕
小米特产 番薯粉饺子 海丰小吃小米"
0,17,//g-search1.alicdn.com/img/bao/uploaded/i4/i1/677874387/TB2vxUDXVXXXXacXXXXXXXXXXXX_!!677874387.jpg_180x180.jpg_.webp,广东 潮州,35.00,tb7989499,"腐乳饼 胡荣泉中秋饼食 广东
潮汕
潮州特产零食手信 约1kg约25个"
0,56,//g-search3.alicdn.com/img/bao/uploaded/i4/i4/3909391727/TB211hrpL5TBuNjSspmXXaDRVXa_!!3909391727-0-item_pic.jpg_180x180.jpg_.webp,广东 汕头,28.00,壹号师傅旗舰店,"壹号师傅
潮汕
正宗手工猪肉卷条 潮州汕头特产 粿条汤底配菜"
0,1207,//g-search2.alicdn.com/img/bao/uploaded/i4/i2/1900471018/TB1.fTdyv1TBuNjy0FjXXajyXXa_!!0-item_pic.jpg_180x180.jpg_.webp,广东 潮州,16.80,双雄食品旗舰店,"双雄橄榄菜咸菜腌菜酱菜下饭菜开味菜180gX3瓶装正宗
潮汕
特产包邮"
0,1715,//g-search3.alicdn.com/img/bao/uploaded/i4/i1/1104375544/TB2MaF5BiRnpuFjSZFCXXX2DXXa_!!1104375544.jpg_180x180.jpg_.webp,广东 汕头,9.98,钟桂泽,"潮汕
特产 包邮 正品土碳 梅花酥饼童年 零食 小吃炉窗土炭 炉窗"
0,3080,//g-search3.alicdn.com/img/bao/uploaded/i4/i3/673810035/TB2TgTtpOCYBuNkHFCcXXcHtVXa_!!673810035.jpg_180x180.jpg_.webp,广东 潮州,8.80,小吃潮,"广东潮州
潮汕
特产正宗惠来绿豆饼 传统糕点 手工绿豆糕小吃零食"
0,55,//g-search1.alicdn.com/img/bao/uploaded/i4/i4/2519649774/TB2_fAkEA9WBuNjSspeXXaz5VXa_!!2519649774.jpg_180x180.jpg_.webp,广东 潮州,36.20,yoyo663639,"正宗手打牛筋丸
潮汕
牛肉丸潮州汕头特产新鲜火锅肉丸子"
0,318,//g-search3.alicdn.com/img/bao/uploaded/i4/i1/1698280581/TB2cBRuxQKWBuNjy1zjXXcOypXa_!!1698280581.jpg_180x180.jpg_.webp,广东 深圳,35.80,2013yzj,"潮汕
佬虾仁菜脯
潮汕
特产萝卜干180g*6瓶杂咸菜下饭菜酱菜早饭"
0,377,//g-search3.alicdn.com/img/bao/uploaded/i4/i1/2888540913/TB2uUhIbeGSBuNjSspbXXciipXa_!!2888540913.jpg_180x180.jpg_.webp,江苏 苏州,46.00,美厨厅堂,"潮汕
特产蓬盛香港橄榄菜450g*4瓶小菜酱菜芥菜开味菜 下饭菜"
0,260,//g-search3.alicdn.com/img/bao/uploaded/i4/i3/3424874623/TB2uoTjnxSYBuNjSsphXXbGvVXa_!!3424874623.jpg_180x180.jpg_.webp,广东 汕头,8.80,潮汕个味道,"广东
潮汕
特产萝卜干
潮汕
菜脯萝卜干杂咸下饭配粥自制罐装350g/罐"
0,135,//g-search3.alicdn.com/img/bao/uploaded/i4/i2/1645975125/TB2LE90tNWYBuNjy1zkXXXGGpXa_!!1645975125.jpg_180x180.jpg_.webp,广东 揭阳,39.80,huangshaopeng1,"潮汕
绿豆饼礼盒装面包广东馅饼板栗饼红豆散装绿豆糕早餐点心零食"
0,154,//g-search2.alicdn.com/img/bao/uploaded/i4/i1/729604004/TB2oC5xnFXXXXXyXpXXXXXXXXXX_!!729604004.jpg_180x180.jpg_.webp,广东 汕头,18.80,合欢购物吧,"天天特价利东福
潮汕
特产红豆饼朥饼乌豆饼零食吃茶点酥饼中秋月饼"
0,62,//g-search3.alicdn.com/img/bao/uploaded/i4/i2/2633981800/TB2lx1YHY5YBuNjSspoXXbeNFXa_!!2633981800.jpg_180x180.jpg_.webp,广东 汕头,49.90,装嫩楠哥哥,"✅好吃仔牛肉丸
潮汕
正宗汕头特产牛筋丸独立包装500g火锅食材1斤"
