Column1	deal	image	location	price	shop	title
0	33	//g.alicdn.com/s.gif	安徽 合肥	1090	现代电脑1168	"映众GTX1050TI黑金至尊4G吃鸡游戏
显卡
独立
显卡"
0	35	//g.alicdn.com/s.gif	上海	1899	罗望数码专营店	"微星/MSI GTX1060 AERO ITX 6G OC 游戏
显卡
ITX短卡逆水寒游戏卡"
0	64	//g.alicdn.com/s.gif	湖北 武汉	3299	瑞达中腾数码专营店	"【分期免息】ZOTAC/索泰GTX1070Ti 8G至尊PLUS吃鸡游戏
显卡"
0	158	//g.alicdn.com/s.gif	四川 成都	999	潘健的	"诚信科技 影驰GTX1060 3G 970 4G
显卡
另有GTX1060 6G 1050 GTX780"
0	254	//g.alicdn.com/s.gif	广东 广州	1079	九日堂数码专营店	"影驰
显卡
GTX1050Ti大将4G高端游戏
显卡
畅玩吃鸡 台式机4G独显"
0	70	//g.alicdn.com/s.gif	湖北 武汉	2099	sapphire蓝宝石旗舰店	"蓝宝石RX580 8G超白金OC台式机电脑电竞吃鸡游戏独立
显卡"
0	43	//g.alicdn.com/s.gif	湖北 武汉	3499	瑞达中腾数码专营店	"七彩虹iGame GTX1070Ti逆水寒游戏
显卡
8G Vulcan X top超频版
显卡"
0	23	//g.alicdn.com/s.gif	四川 成都	1178	leihais123	"蓝宝石RX480 8G海外版吃鸡
显卡
有GTX1060 3G 6G 470 570 580 380X"
0	37	//g.alicdn.com/s.gif	湖北 武汉	3899	索泰旗舰店	"分期免息 索泰 GeForce GTX1080-8GD5X至尊PLUS OC 独立游戏
显卡"
0	86	//g-search3.alicdn.com/img/bao/uploaded/i4/i3/1577744489/TB1Ki9rnIUrBKNjSZPxXXX00pXa_!!0-item_pic.jpg_180x180.jpg_.webp	上海	2499	易华旗舰店	"华硕GTX1060 6G猛禽战枭 可超频台式机电脑游戏独显1060
显卡
6g"
0	72	//g-search3.alicdn.com/img/bao/uploaded/i4/i1/692491563/TB20cNfFeuSBuNjSsplXXbe8pXa_!!692491563.jpg_180x180.jpg_.webp	湖北 武汉	1449	一品堂5498	"ZOTAC索泰GTX1060 5G毁灭者吃鸡
显卡
台式机电脑独显5G全新双风扇"
0	9	//g-search2.alicdn.com/img/bao/uploaded/i4/i4/696723727/TB2RR1BuhlmpuFjSZPfXXc9iXXa_!!696723727.jpg_180x180.jpg_.webp	广东 深圳	1658	showili	"包顺丰AMD FirePro W600 多屏专业
显卡
用于投影机LED 1x6 6x1拼接"
0	42	//g-search3.alicdn.com/img/bao/uploaded/i4/i3/3918712328/TB2tHoHmv6TBKNjSZJiXXbKVFXa_!!3918712328-0-item_pic.jpg_180x180.jpg_.webp	江西 南昌	3199	沪祺数码专营店	"蓝宝石RX VEGA56 8G HBM2超白金游戏独立AMD
显卡
VEGA56超白金8G"
0	47	//g-search3.alicdn.com/img/bao/uploaded/i4/i4/854706772/TB24tg_GKuSBuNjy1XcXXcYjFXa_!!854706772.png_180x180.jpg_.webp	美国	5999	鸿鑫通讯q	"Asus/华硕ROG-STRIX-GTX1080TI-O11G猛禽1080Ti OC版吃鸡游戏
显卡"
0	64	//g-search1.alicdn.com/img/bao/uploaded/i4/i3/749034537/TB2ZW_kJ7CWBuNjy0FaXXXUlXXa_!!749034537.jpg_180x180.jpg_.webp	广东 广州	1299	djxdycdlq	"全新铭瑄电竞版GTX1060 6G 5G 3G 独立
显卡
1063吃鸡1066 1065 TI"
0	27	//g-search3.alicdn.com/img/bao/uploaded/i4/i3/1134114936/TB1gnVqnVooBKNjSZPhXXc2CXXa_!!0-item_pic.jpg_180x180.jpg_.webp	广东 广州	3999	慧川数码专营店	"现货技嘉 GTX1080 G1 GAMING 8GD 逆水寒 游戏
显卡"
0	119	//g-search3.alicdn.com/img/bao/uploaded/i4/i4/654519625/TB1MzeUnVooBKNjSZFPXXXa2XXa_!!0-item_pic.jpg_180x180.jpg_.webp	浙江 宁波	2199	asus华硕旗舰店	"Asus/华硕DUAL-GTX1060-O6G全新6G独显电脑台式机游戏独立
显卡"
0	0	//g-search1.alicdn.com/img/bao/uploaded/i4/imgextra/i2/27318705/TB2AO0Qd21TBuNjy0FjXXajyXXa_!!0-saturn_solar.jpg_180x180.jpg_.webp	北京	1399	无限快乐的乖小孩	"【原装全新】影驰（Galaxy） GTX 1050 Ti GAMER 吃鸡
显卡"
0	16	//g-search1.alicdn.com/img/bao/uploaded/i4/imgextra/i1/123445649/TB2kfzBnfImBKNjSZFlXXc43FXa_!!0-saturn_solar.jpg_180x180.jpg_.webp	上海	6400	leadtek旗舰店	"丽台Quadro P4000 8GB 3D建模渲染影视视频剪辑后期 专业图形
显卡"
0	0	//g-search1.alicdn.com/img/bao/uploaded/i4/imgextra/i3/132324987/TB2OVb_xByWBuNkSmFPXXXguVXa_!!0-saturn_solar.jpg_180x180.jpg_.webp	湖北 武汉	1999	机魔会数码专营店	"蓝宝石RX580 8G白金版OC电脑游戏独立
显卡"
0	242	//g-search3.alicdn.com/img/bao/uploaded/i4/i1/2074104426/TB1Zl5nA4uTBuNkHFNRXXc9qpXa_!!0-item_pic.jpg_180x180.jpg_.webp	上海	1249	技嘉旗舰店	"技嘉 GTX1050Ti G1 Gaming 4G 电脑游戏吃鸡独立超频
显卡
RGB信仰"
0	30	//g-search2.alicdn.com/img/bao/uploaded/i4/i2/26088756/TB2IrHnbmBYBeNjy0FeXXbnmFXa_!!26088756.jpg_180x180.jpg_.webp	湖北 武汉	2599	remol	"★肥猫家★GTX1070 8G 闪电猫 吃鸡游戏独立
显卡
五热管+金属背板"
0	44	//g-search3.alicdn.com/img/bao/uploaded/i4/i1/92280622/TB264fJDkCWBuNjy0FaXXXUlXXa_!!92280622.jpg_180x180.jpg_.webp	重庆	1000	流行it时尚	"七彩虹GTX1060 3G
显卡
有华硕 微星1050ti 960 970 770 1070 6G"
0	29	//g-search2.alicdn.com/img/bao/uploaded/i4/i4/2250382786/O1CN011WS1t7jdDCJA1QI_!!2250382786.jpg_180x180.jpg_.webp	福建 福州	2059	奥都数码专营店	"????蓝宝石RX580 8G超白金OC台式机电脑电竞吃鸡游戏独立
显卡"
0	51	//g-search1.alicdn.com/img/bao/uploaded/i4/i3/838126106/TB2iR1ApNSYBuNjSsphXXbGvVXa_!!838126106.jpg_180x180.jpg_.webp	四川 成都	1399	潘健的	"诚信科技 七彩虹/影驰GTX1060 6G 3G
显卡
秒GTX970 4G 980 470 480"
0	80	//g.alicdn.com/s.gif	广东 广州	789	思泽数码专营店	"新品昂达GTX1050
显卡
3G D5神盾游戏
显卡
独立
显卡
盒装GTX1050 3G"
0	247	//g.alicdn.com/s.gif	广东 惠州	295	峰琪科技	"gtx750ti七彩虹2gb吃鸡
显卡
DDR5绝地求生游戏
显卡
逆水寒台式独显"
0	80	//g.alicdn.com/s.gif	江苏 南京	1429	此男时尚	"技嘉 GTX 1060 WINDFORCE OC 5G 游戏
显卡
GV-N1060WF2OC-5GD工包"
0	77	//g.alicdn.com/s.gif	重庆	5499	创众达数码专营店	"?【顺丰全新】映众GTX1080Ti超级冰龙11G高端游戏
显卡
吃鸡逆水寒"
0	269	//g.alicdn.com/s.gif	浙江 杭州	185	学海的名字	"华硕GTX750 1G 战骑士 真实1GB 游戏独立
显卡
无需供电 超GTX650TI"
0	16	//g.alicdn.com/s.gif	上海	3559	u2_uestc	"asus华硕ROG-STRIX-GTX1070TI-A8G-GAMING 猛禽游戏
显卡"
0	53	//g.alicdn.com/s.gif	福建 福州	1788	创鑫电脑城	"蓝宝石RX580 8G超白金OC电脑游戏吃鸡
显卡
秒GTX1060 6G 战GTX1070"
0	65	//g.alicdn.com/s.gif	河南 郑州	268	yao0513	"多款 微星GTX660 2G 独立吃鸡游戏
显卡
台式机高端独显包邮"
0	22	//g.alicdn.com/s.gif	广东 深圳	3268	hddianzi	"【分期购】全新 优博泰GTX1080-A8G台式机电脑游戏独立
显卡
8G"
0	7	//g.alicdn.com/s.gif	江苏 南京	3499	影驰铭索顺专卖店	"影驰 GTX1070Ti 名人堂 8G 台式机
显卡
高清游戏电脑独立
显卡"
0	121	//g.alicdn.com/s.gif	重庆	338	流行it时尚	"七彩虹 影驰 华硕 索泰GTX760 2G 吃鸡
显卡
有660TI 960 1050 4g"
0	32	//g.alicdn.com/s.gif	湖北 武汉	3299	remol	"★肥猫家★GTX1080 8G闪电猫 吃鸡游戏独立
显卡
五热管+金属背板"
0	68	//g.alicdn.com/s.gif	广东 深圳	1299	吉的堡数码专营店	"顺丰铭瑄GTX1060 3G 5G 6G电竞版电脑独立
显卡
非1070TI超1050吃鸡"
0	111	//g.alicdn.com/s.gif	重庆	1449	志硕数码专营店	"6期免息 技嘉GTX1060 3G D5
显卡
风魔超频版吃鸡逆水寒游戏独显"
0	83	//g.alicdn.com/s.gif	上海	4099	技嘉旗舰店	"技嘉 GTX1080 G1 8G 逆水寒 吃鸡 电脑游戏独立超频
显卡
RGB信仰"
0	46	//g.alicdn.com/s.gif	陕西 西安	499	嘉嘉小屋988	"全新台式机独立
显卡
盈驰海外版 gtx1050 2g D5吃鸡游戏包邮非拆机"
